OBJECTID,Name,Operator,Owner,Address,Is 24 Hours,Car Park Count,Has Carpark Cost,Max Time Limit,Has Tourist Attraction,Latitude,Longitude,Current Type,Date First Operational,Number Of Connectors,Connectors List,Has Charging Cost,GlobalID,x,y
175300,YHA MT COOK,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"4 Kitchener Dr, Mount Cook National Park 7999, New Zealand",True,1,False,Unlimited,False,-43.73745,170.100913,AC,5/1/2020 12:00:00 AM,1,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",True,f1bc0f2c-176e-4d97-a9e4-70a2b783e72c,1366541.2354343,5153202.16415878
175301,YHA TE ANAU,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"29 Mokonui St, Te Anau 9600, New Zealand",True,2,False,Unlimited,False,-45.4147023,167.710591,AC,5/1/2020 12:00:00 AM,1,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",True,f68ea2d2-41b8-4288-b16d-586d6c7f4925,1186140.20232806,4957354.95909798
175302,NZ BLOOD SERVICE,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"71 Great South Road, Epsom, Auckland 1051",False,4,False,Unlimited,False,-36.8816643029201,174.783985143939,AC,10/12/2019 12:00:00 AM,4,"{AC, 44 kW, Type 2 Socketed, Status: Operative, Count:4}",False,1f409fdd-6e25-42ee-8829-a21d72bb2a14,1758984.87810837,5916769.11385194
175303,Hampton Downs,WEL Networks Ltd,WEL Networks Ltd,"20 Hampton Downs Road, Hampton Downs",True,2,False,Unlimited,True,-37.3545575081454,175.080300240821,DC,1/1/2018 12:00:00 AM,3,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,fb96bc24-420c-4c5a-8977-ba1923aa2b87,1784244.72422934,5863764.28987512
175304,Maui Street,WEL Networks Ltd,WEL Networks Ltd,"114 Maui St, Pukete",True,2,False,Unlimited,False,-37.7317137166904,175.222543851019,DC,1/1/2018 12:00:00 AM,3,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,e987e7de-979c-4907-87e0-3046ce1b53c3,1795854.60367123,5821625.90654976
175305,Claudelands,WEL Networks Ltd,WEL Networks Ltd,"160 Peachgrove Road, Hamilton East",True,3,False,Unlimited,False,-37.7785588433362,175.298786948482,Mixed,1/1/2018 12:00:00 AM,5,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 25 kW, CHAdeMO, Status: Operative, Count:2},{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",False,7cf67c6f-b681-488a-b829-06988e1b70d6,1802446.40959391,5816265.16867545
175306,Mystery Creek,WEL Networks Ltd,WEL Networks Ltd,"153 Ingram Road, Waitomo Fuel,  Mystery Creek",True,2,False,Unlimited,False,-37.876728596303,175.324548424172,DC,1/1/2018 12:00:00 AM,3,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,a66ebd34-adb6-4d9a-9642-c9931ac699bd,1804444.23434421,5805314.99519141
175307,Huntly,WEL Networks Ltd,WEL Networks Ltd,"20 Tumate Mahuta Drive, Huntly",True,3,False,Unlimited,False,-37.5647004263661,175.158396850283,Mixed,1/1/2018 12:00:00 AM,5,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 25 kW, CHAdeMO, Status: Operative, Count:2},{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:1}",False,70c35bb1-2c05-4de4-90dc-743ef2166f3a,1790627.80672441,5840290.96994853
175308,Te Kauwhata,WEL Networks Ltd,WEL Networks Ltd,"16 Wayside Road, Te Kauwhata",True,2,False,Unlimited,False,-37.4125665624,175.127487397762,DC,1/1/2018 12:00:00 AM,3,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,12b7595d-ff18-427e-b20d-ecfbd7f6b9bc,1788279.24730371,5857234.39830623
175309,St James,WEL Networks Ltd,WEL Networks Ltd,"23 Horsham Downs Road, Rototuna",True,3,False,Unlimited,False,-37.7319320139187,175.273583803848,Mixed,1/1/2018 12:00:00 AM,5,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 25 kW, CHAdeMO, Status: Operative, Count:2},{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",False,3c2ab1b0-8627-4840-a13a-165edbe6aa0b,1800352.33974695,5821493.61654752
175310,Caro Street,WEL Networks Ltd,WEL Networks Ltd,"4 Caro St, Hamilton",True,2,False,Unlimited,False,-37.7883439028825,175.28128105207,DC,1/1/2018 12:00:00 AM,3,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,a3329edf-10b5-425d-8f88-a6c9b6273a1a,1800878.01585392,5815217.09336834
175311,Rototuna North,WEL Networks Ltd,WEL Networks Ltd,"3 Fergy Place, Rototuna North, Hamilton 3210",True,3,False,Unlimited,False,-37.7224127829775,175.257585760048,Mixed,1/1/2018 12:00:00 AM,5,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 25 kW, CHAdeMO, Status: Operative, Count:2},{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",False,ddf45593-67b3-4d9f-a18e-a3458a676af3,1798967.85955522,5822584.09051312
175312,Raglan,WEL Networks Ltd,WEL Networks Ltd,"43 Bow St, Raglan",True,2,False,Unlimited,True,-37.8002868100065,174.870311446816,DC,10/19/2023 12:00:00 AM,3,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,be630c62-9718-4db0-877f-643e0584f763,1764660.01439184,5814695.66287339
175313,Hamilton South,WEL Networks Ltd,WEL Networks Ltd,"58 Anglesea Street, Hamilton",True,3,False,Unlimited,False,-37.7936206972454,175.286377835335,Mixed,1/1/2018 12:00:00 AM,5,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 25 kW, CHAdeMO, Status: Operative, Count:2},{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",False,d8c755fd-9c9c-46d8-b4b7-297481f92252,1801312.54595599,5814620.55690029
175314,Hamilton North,WEL Networks Ltd,WEL Networks Ltd,"551 Anglesea Street, Hamilton",True,3,False,Unlimited,False,-37.7817206103916,175.274291725517,Mixed,1/1/2018 12:00:00 AM,5,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 25 kW, CHAdeMO, Status: Operative, Count:2},{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",False,3b8ef531-79ab-473d-b3b3-6bd62225f9a2,1800280.3745951,5815967.08211086
175315,Innovation Park,WEL Networks Ltd,WEL Networks Ltd,"9 Melody Lane, Hamilton East",True,2,False,Unlimited,False,-37.778014543995,175.308828634049,DC,1/1/2018 12:00:00 AM,3,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,2e47a6b8-a7f2-4c0c-9998-d915106b1584,1803332.35904635,5816303.77163216
175316,Ormiston Town Centre,Todd Property Ormiston Town Centre Limited,Todd Property Ormiston Town Centre Limited,"240 Ormiston road, Flat Bush, Auckland, 2012, New Zealand",True,14,False,Unlimited,False,-36.9648860428412,174.912617279983,AC,3/25/2021 12:00:00 AM,14,"{AC, 32 kW, Type 2 Socketed, Status: Operative, Count:9},{AC, 32 kW, Type 1 Tethered, Status: Operative, Count:4},{AC, 25 kW, Type 2 Socketed, Status: Operative, Count:1}",False,e7e48b41-fcdb-4f5c-bc23-e84895f35a64,1770264.22209193,5907313.69139802
175317,Waikato Innovation Park,Hikotron,Hikotron,"Waikato Innovation Park, 1 Melody Lane, Hamilton East, Hamilton 3216",True,4,False,No Limit,False,-37.7781574798876,175.30805906559,AC,,4,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:4}",True,fe3bad94-38e8-44b3-ab2f-6be4f1556ab4,1803264.18433985,5816289.58387701
175318,Te Awamutu Events Centre,Hikotron,Hikotron,"Events Centre Car Park Mahoe Street, Te Awamutu 3800",True,4,False,No Limit,False,-38.0080929,175.3249891,AC,,4,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:4}",True,62bf6acc-3eb0-4e83-9eff-d4aa7d79aa29,1804119.06717368,5790736.07549656
175319,Hamilton Electric Vehicles,Hikotron,Hikotron,"Cnr West Street and, Lincoln Street, Frankton, Hamilton 3200",True,2,False,No Limit,False,-37.7881084019164,175.258355890002,AC,,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,4995caa3-0509-4997-b4cc-9f6a73115d95,1798859.70998663,5815292.26127903
175320,Colonial City Motel,Hikotron,Hikotron,"2 Pembroke Lane, Hamilton Lake, Hamilton 3204",True,2,False,No Limit,False,-37.79317,175.280269,AC,,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,d2b2ebac-1027-452d-82cb-bd919428e9e7,1800775.8200961,5814683.71549951
